EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
132.00665473937988,132,37,PLAY,StillPlaying,577751
132.3679814338684,132,38,PLAY,Writing,1473801
134.74333786964417,134,39,PLAY,Writing,1473801
136.00675797462463,136,38,PLAY,StillPlaying,782553
138.73481678962708,138,39,PLAY,Writing,1473801
140.00665807724,140,38,PLAY,StillPlaying,782553
144.0066361427307,144,37,PLAY,StillPlaying,782553
144.05388116836548,144,38,PLAY,Writing,1473801
146.29475831985474,146,39,PLAY,Writing,1473801
148.0066933631897,148,38,PLAY,StillPlaying,782553
148.75677132606506,148,39,PLAY,Writing,1473801
152.00667023658752,152,38,PLAY,StillPlaying,1008699
154.86865901947021,154,39,PLAY,Writing,1473801
156.00668597221375,156,38,PLAY,StillPlaying,1008699
160.00664973258972,160,37,PLAY,StillPlaying,1008699
164.00667548179626,164,36,PLAY,StillPlaying,1207152
164.1747920513153,164,37,PLAY,Writing,1473801
168.0066797733307,168,36,PLAY,StillPlaying,1207152
168.25297141075134,168,37,PLAY,Writing,1207152
171.3492078781128,171,38,PLAY,Writing,1207152
172.00666117668152,172,37,PLAY,StillPlaying,1207152
175.14959836006165,175,38,PLAY,Writing,1473801
176.00666999816895,176,37,PLAY,StillPlaying,1207152
